Lan;City;Lat;Long;;;
Dalarnas län;Borlänge;60.4833;15.4167;;;
Uppsala län;Uppsala;59.87000;17.70000;;;
Blekinge län;Karlskrona;56.16000;15.60000;;;
Gotlands län;Visby;57.64000;18.29000;;;
Gävleborgs län;Gävle;60.66000;17.12000;;;
Hallands län;Halmstad;56.66000;12.83000;;;
Jämtlands län;Östersund;63.18000;14.70000;;;
Jönköpings län;Jönköping;57.78000;14.17000;;;
Kalmar län;Kalmar;56.68000;16.33000;;;
Kronobergs län;Växjö;56.89000;14.83000;;;
Norrbottens län;Luleå;65.59000;22.15000;;;
Skåne län;Malmö;55.61000;12.97000;;;
Stockholms län;Stockholm;59.32000;18.06000;;;
Södermanlands län;Nyköping;58.7582;17.0185;;;
Värmlands län;Karlstad;59.39000;13.48000;;;
Västerbottens län;Umeå;63.83000;20.29000;;;
Västernorrlands län;Sundsvall;62.39000;17.32000;;;
Västmanlands län;Västerås;59.60000;16.55000;;;
Västra Götalands län;Göteborg;57.69000;11.89000;;;
Örebro län;Örebro;59.28000;15.18000;;;
Östergötlands län;Linköping;58.38000;15.67000;;;
