,postort,Kommun,Lan
0,Abbekås,Skurups kommun,Skåne län
1,Abborrträsk,Arvidsjaurs kommun,Norrbottens län
2,Abisko,Kiruna kommun,Norrbottens län
3,Adak,Malå kommun,Västerbottens län
4,Adelsö,Ekerö kommun,Stockholms län
5,Agnesberg,Göteborgs kommun,Västra Götalands län
6,Agunnaryd,Ljungby kommun,Kronobergs län
7,Alafors,Ale kommun,Västra Götalands län
8,Alby,Ånge kommun,Västernorrlands län
9,Alfta,Ovanåkers kommun,Gävleborgs län
10,Alingsås,Alingsås kommun,Västra Götalands län
11,Allerum,Helsingborgs kommun,Skåne län
12,Almunge,Uppsala kommun,Uppsala län
13,Alnö,Sundsvalls kommun,Västernorrlands län
14,Alnarp,Lomma kommun,Skåne län
15,Alsen,Krokoms kommun,Jämtlands län
16,Alsterbro,Nybro kommun,Kalmar län
17,Alstermo,Uppvidinge kommun,Kronobergs län
18,Altersbruk,Piteå kommun,Norrbottens län
19,Alunda,Östhammars kommun,Uppsala län
20,Alvesta,Alvesta kommun,Kronobergs län
21,Alvhem,Ale kommun,Västra Götalands län
22,Ambjörby,Torsby kommun,Värmlands län
23,Ambjörnarp,Tranemo kommun,Västra Götalands län
24,Ammarnäs,Sorsele kommun,Västerbottens län
25,Anderslöv,Trelleborgs kommun,Skåne län
26,Anderstorp,Gislaveds kommun,Jönköpings län
27,Aneby,Aneby kommun,Jönköpings län
28,Angered,Göteborgs kommun,Västra Götalands län
29,Ankarsrum,Västerviks kommun,Kalmar län
30,Ankarsvik,Sundsvalls kommun,Västernorrlands län
31,Anneberg,Nässjö kommun,Jönköpings län
32,Annelöv,Landskrona kommun,Skåne län
33,Annerstad,Ljungby kommun,Kronobergs län
34,Aplared,Borås kommun,Västra Götalands län
35,Arboga,Arboga kommun,Västmanlands län
36,Arbrå,Bollnäs kommun,Gävleborgs län
37,Arholma,Norrtälje kommun,Stockholms län
38,Arild,Höganäs kommun,Skåne län
39,Arjeplog,Arjeplogs kommun,Norrbottens län
40,Arkelstorp,Kristianstads kommun,Skåne län
41,Arlöv,Burlövs kommun,Skåne län
42,Arlandastad,Sigtuna kommun,Stockholms län
43,Arnäsvall,Örnsköldsviks kommun,Västernorrlands län
44,Arnemark,Piteå kommun,Norrbottens län
45,Arvidsjaur,Arvidsjaurs kommun,Norrbottens län
46,Arvika,Arvika kommun,Värmlands län
47,Asarum,Karlshamns kommun,Blekinge län
48,Askersund,Askersunds kommun,Örebro län
49,Askim,Göteborgs kommun,Västra Götalands län
50,Asmundtorp,Landskrona kommun,Skåne län
51,Aspabruk,Askersunds kommun,Örebro län
52,Asperö,Göteborgs kommun,Västra Götalands län
53,Aspås,Krokoms kommun,Jämtlands län
54,Avesta,Avesta kommun,Dalarnas län
55,Axmar,Gävle kommun,Gävleborgs län
56,Axvall,Skara kommun,Västra Götalands län
57,Backaryd,Ronneby kommun,Blekinge län
58,Backe,Strömsunds kommun,Jämtlands län
59,Bagarmossen,Stockholms kommun,Stockholms län
60,Ballingslöv,Hässleholms kommun,Skåne län
61,Bandhagen,Stockholms kommun,Stockholms län
62,Bankeryd,Jönköpings kommun,Jönköpings län
63,Bara,Svedala kommun,Skåne län
64,Barsebäck,Kävlinge kommun,Skåne län
65,Barsele,Storumans kommun,Västerbottens län
66,Bastuträsk,Norsjö kommun,Västerbottens län
67,Beddingestrand,Trelleborgs kommun,Skåne län
68,Bengtsfors,Bengtsfors kommun,Västra Götalands län
69,Berga,Högsby kommun,Kalmar län
70,Bergby,Gävle kommun,Gävleborgs län
