Abbekås  Skurups;kommun; Skåne;län;;;
Abborrträsk  Arvidsjaurs;kommun; Norrbottens;län;;;
Abisko  Kiruna;kommun; Norrbottens;län;;;
Adak  Malå;kommun; Västerbottens;län;;;
Adelsö  Ekerö;kommun; Stockholms;län;;;
Agnesberg  Göteborgs;kommun; Västra;Götalands;län;;
Agunnaryd  Ljungby;kommun; Kronobergs;län;;;
Alafors  Ale;kommun; Västra;Götalands;län;;
Alby  Ånge;kommun; Västernorrlands;län;;;
Alfta  Ovanåkers;kommun; Gävleborgs;län;;;
Alingsås  Alingsås;kommun; Västra;Götalands;län;;
Allerum  Helsingborgs;kommun; Skåne;län;;;
Almunge  Uppsala;kommun; Uppsala;län;;;
Alnö  Sundsvalls;kommun; Västernorrlands;län;;;
Alnarp  Lomma;kommun; Skåne;län;;;
Alsen  Krokoms;kommun; Jämtlands;län;;;
Alsterbro  Nybro;kommun; Kalmar;län;;;
Alstermo  Uppvidinge;kommun; Kronobergs;län;;;
Altersbruk  Piteå;kommun; Norrbottens;län;;;
Alunda  Östhammars;kommun; Uppsala;län;;;
Alvesta  Alvesta;kommun; Kronobergs;län;;;
Alvhem  Ale;kommun; Västra;Götalands;län;;
Ambjörby  Torsby;kommun; Värmlands;län;;;
Ambjörnarp  Tranemo;kommun; Västra;Götalands;län;;
Ammarnäs  Sorsele;kommun; Västerbottens;län;;;
Anderslöv  Trelleborgs;kommun; Skåne;län;;;
Anderstorp  Gislaveds;kommun; Jönköpings;län;;;
Aneby  Aneby;kommun; Jönköpings;län;;;
Angered  Göteborgs;kommun; Västra;Götalands;län;;
Ankarsrum  Västerviks;kommun; Kalmar;län;;;
Ankarsvik  Sundsvalls;kommun; Västernorrlands;län;;;
Anneberg  Nässjö;kommun; Jönköpings;län;;;
Annelöv  Landskrona;kommun; Skåne;län;;;
Annerstad  Ljungby;kommun; Kronobergs;län;;;
Aplared  Borås;kommun; Västra;Götalands;län;;
Arboga  Arboga;kommun; Västmanlands;län;;;
Arbrå  Bollnäs;kommun; Gävleborgs;län;;;
Arholma  Norrtälje;kommun; Stockholms;län;;;
Arild  Höganäs;kommun; Skåne;län;;;
Arjeplog  Arjeplogs;kommun; Norrbottens;län;;;
Arkelstorp  Kristianstads;kommun; Skåne;län;;;
Arlöv  Burlövs;kommun; Skåne;län;;;
Arlandastad  Sigtuna;kommun; Stockholms;län;;;
Arnäsvall  Örnsköldsviks;kommun; Västernorrlands;län;;;
Arnemark  Piteå;kommun; Norrbottens;län;;;
Arvidsjaur  Arvidsjaurs;kommun; Norrbottens;län;;;
Arvika  Arvika;kommun; Värmlands;län;;;
Asarum  Karlshamns;kommun; Blekinge;län;;;
Askersund  Askersunds;kommun; Örebro;län;;;
Askim  Göteborgs;kommun; Västra;Götalands;län;;
Asmundtorp  Landskrona;kommun; Skåne;län;;;
Aspabruk  Askersunds;kommun; Örebro;län;;;
Asperö  Göteborgs;kommun; Västra;Götalands;län;;
Aspås  Krokoms;kommun; Jämtlands;län;;;
Avesta  Avesta;kommun; Dalarnas;län;;;
Axmar  Gävle;kommun; Gävleborgs;län;;;
Axvall  Skara;kommun; Västra;Götalands;län;;
Backaryd  Ronneby;kommun; Blekinge;län;;;
Backe  Strömsunds;kommun; Jämtlands;län;;;
Bagarmossen  Stockholms;kommun; Stockholms;län;;;
Ballingslöv  Hässleholms;kommun; Skåne;län;;;
Bandhagen  Stockholms;kommun; Stockholms;län;;;
Bankeryd  Jönköpings;kommun; Jönköpings;län;;;
